"zip","NPI","clus","city","state"
"00007",1336470434,11,NA,NA
"00680",1659398592,64,"Mayaguez","PR"
"00716",1144237397,12,"Ponce","PR"
"00725",1447480975,26,"Caguas","PR"
"01602",1184853806,46,"Worcester","MA"
"01605",1346353687,55,"Worcester","MA"
"01950",1699722488,55,"Newburyport","MA"
"02114",1184661548,55,"Boston","MA"
"02135",1801093356,29,"Brighton","MA"
"02186",1184673808,4,"Milton","MA"
"02720",1497719355,18,"Fall River","MA"
"02807",1134281793,35,"Block Island","RI"
"03060",1578549143,18,"Nashua","NH"
"03246",1770553745,55,"Laconia","NH"
"03301",1376749259,48,"Concord","NH"
"03801",1538253539,55,"Portsmouth","NH"
"03818",1023069796,55,"Conway","NH"
"03818",1548372758,55,"Conway","NH"
"03818",1235163890,55,"Conway","NH"
"03860",1891984647,55,"North Conway","NH"
"03860",1215115639,55,"North Conway","NH"
"03860",1053549394,55,"North Conway","NH"
"03860",1023096120,55,"North Conway","NH"
"03860",1326026311,55,"North Conway","NH"
"03860",1285619320,55,"North Conway","NH"
"03860",1053399048,55,"North Conway","NH"
"03860",1619909157,55,"North Conway","NH"
"03860",1942295183,55,"North Conway","NH"
"03894",1427070630,55,"Wolfeboro","NH"
"03906",1649230194,64,"North Berwick","ME"
"04005",1962485698,55,"Biddeford","ME"
"04005",1952387805,55,"Biddeford","ME"
"04005",1245263888,64,"Biddeford","ME"
"04005",1043473457,55,"Biddeford","ME"
"04005",1952387326,55,"Biddeford","ME"
"04005",1932185642,55,"Biddeford","ME"
"04005",1912968967,55,"Biddeford","ME"
"04005",1568494011,55,"Biddeford","ME"
"04005",1255396628,55,"Biddeford","ME"
"04005",1437257169,64,"Biddeford","ME"
"04005",1407992175,55,"Biddeford","ME"
"04005",1215991773,55,"Biddeford","ME"
"04005",1548494552,55,"Biddeford","ME"
"04005",1851377238,55,"Biddeford","ME"
"04005",1194897801,55,"Biddeford","ME"
"04005",1538393541,64,"Biddeford","ME"
"04005",1558349662,55,"Biddeford","ME"
"04005",1578552766,55,"Biddeford","ME"
"04005",1417935529,55,"Biddeford","ME"
"04005",1124102389,64,"Biddeford","ME"
"04005",1134310618,55,"Biddeford","ME"
"04005",1619943917,55,"Biddeford","ME"
"04005",1063478030,55,"Biddeford","ME"
"04005",1033174255,55,"Biddeford","ME"
"04005",1104895648,55,"Biddeford","ME"
"04005",1447211073,55,"Biddeford","ME"
"04005",1518037316,64,"Biddeford","ME"
"04005",1922242163,55,"Biddeford","ME"
"04005",1457422495,55,"Biddeford","ME"
"04005",1295905115,55,"Biddeford","ME"
"04005",1376529982,55,"Biddeford","ME"
"04005",1285790030,55,"Biddeford","ME"
"04005",1922132091,55,"Biddeford","ME"
"04005",1194701565,55,"Biddeford","ME"
"04005",1376509646,55,"Biddeford","ME"
"04005",1740352988,55,"Biddeford","ME"
"04005",1558561332,55,"Biddeford","ME"
"04005",1689631392,55,"Biddeford","ME"
"04009",1215991591,55,"Bridgton","ME"
"04011",1831246339,55,"Brunswick","ME"
"04032",1558336131,55,"Freeport","ME"
"04032",1063582880,55,"Freeport","ME"
"04032",1619916368,55,"Freeport","ME"
"04032",1437181872,64,"Freeport","ME"
"04041",1053418426,55,"Hiram","ME"
"04043",1710099486,55,"Kennebunk","ME"
"04043",1700076908,55,"Kennebunk","ME"
"04043",1548295900,55,"Kennebunk","ME"
"04043",1689750853,55,"Kennebunk","ME"
"04048",1609836238,55,"Limerick","ME"
"04055",1689779092,55,"Naples","ME"
"04062",1194758045,55,"Windham","ME"
"04068",1588854798,55,"Porter","ME"
"04068",1477562684,55,"Porter","ME"
"04072",1174519235,55,"Saco","ME"
"04073",1053363176,55,"Sanford","ME"
"04073",1811095565,64,"Sanford","ME"
"04074",1841367943,55,"Scarborough","ME"
"04074",1922012731,55,"Scarborough","ME"
"04074",1649234378,55,"Scarborough","ME"
"04074",1225038805,55,"Scarborough","ME"
"04074",1285665828,55,"Scarborough","ME"
"04074",1649269952,55,"Scarborough","ME"
"04085",1902912371,55,"Steep Falls","ME"
"04090",1467544668,55,"Wells","ME"
"04090",1457434573,55,"Wells","ME"
"04092",1467501783,55,"Westbrook","ME"
"04092",1760584007,55,"Westbrook","ME"
"04092",1609812551,55,"Westbrook","ME"
"04092",1760531180,55,"Westbrook","ME"
"04092",1225064967,55,"Westbrook","ME"
"04092",1740331016,55,"Westbrook","ME"
"04096",1982649943,55,"Yarmouth","ME"
"04101",1114171857,55,"Portland","ME"
"04101",1093739708,55,"Portland","ME"
"04101",1699894006,55,"Portland","ME"
"04101",1184654568,55,"Portland","ME"
"04101",1861448201,55,"Portland","ME"
"04101",1215996921,55,"Portland","ME"
"04101",1992808133,55,"Portland","ME"
"04101",1750340154,55,"Portland","ME"
"04101",1548293772,55,"Portland","ME"
"04101",1396739520,55,"Portland","ME"
"04101",1710928858,55,"Portland","ME"
"04101",1053352609,55,"Portland","ME"
"04101",1710073507,55,"Portland","ME"
"04101",1932144151,55,"Portland","ME"
"04101",1912935339,55,"Portland","ME"
"04101",1104867290,55,"Portland","ME"
"04101",1972691939,55,"Portland","ME"
"04101",1679662563,55,"Portland","ME"
"04101",1770879520,55,"Portland","ME"
"04101",1104822709,55,"Portland","ME"
"04101",1700974763,55,"Portland","ME"
"04101",1124320957,55,"Portland","ME"
"04101",1710096888,55,"Portland","ME"
"04101",1487809729,55,"Portland","ME"
"04101",1447203310,55,"Portland","ME"
"04101",1932367034,55,"Portland","ME"
"04101",1376580647,55,"Portland","ME"
"04101",1437227378,55,"Portland","ME"
"04101",1336242585,55,"Portland","ME"
"04101",1386746956,55,"Portland","ME"
"04101",1245265776,55,"Portland","ME"
"04101",1942373733,55,"Portland","ME"
"04102",1508834441,55,"Portland","ME"
"04102",1205060225,55,"Portland","ME"
"04102",1639107840,55,"Portland","ME"
"04102",1932293578,55,"Portland","ME"
"04102",1962432203,55,"Portland","ME"
"04102",1063672228,55,"Portland","ME"
"04102",1760584767,55,"Portland","ME"
"04102",1699974311,55,"Portland","ME"
"04102",1831357839,55,"Portland","ME"
"04102",1124193503,55,"Portland","ME"
"04102",1699844365,55,"Portland","ME"
"04102",1760482533,55,"Portland","ME"
"04102",1023040656,55,"Portland","ME"
"04102",1295809911,55,"Portland","ME"
"04102",1699868158,55,"Portland","ME"
"04103",1467408310,55,"Portland","ME"
"04103",1003891177,55,"Portland","ME"
"04103",1437487121,55,"Portland","ME"
"04103",1760414676,55,"Portland","ME"
"04103",1528001088,55,"Portland","ME"
"04103",1265482152,55,"Portland","ME"
"04103",1912957069,55,"Portland","ME"
"04103",1891717872,55,"Portland","ME"
"04103",1053376137,55,"Portland","ME"
"04103",1710177936,55,"Portland","ME"
"04103",1174758866,55,"Portland","ME"
"04103",1750580486,55,"Portland","ME"
"04103",1679513402,55,"Portland","ME"
"04103",1457394900,55,"Portland","ME"
"04103",1982655098,55,"Portland","ME"
"04103",1922031657,55,"Portland","ME"
"04103",1649363805,55,"Portland","ME"
"04103",1871813865,55,"Portland","ME"
"04103",1215941372,55,"Portland","ME"
"04103",1992904080,55,"Portland","ME"
"04103",1992827851,55,"Portland","ME"
"04103",1275633646,55,"Portland","ME"
