"V1","V2"
-3055,-3056
-5109,-5110
-1390,-1393
-3834,-4514
-11855,-18410
-864,-871
-9325,-22384
-7398,-7412
-2655,-2658
-7285,-13203
-2,-4
-17305,-17306
-2383,-4816
-1610,-1611
-5205,-9963
3,-13676
-7972,-13575
-10592,-10595
-6390,-6391
-8262,-13775
-2830,-2835
-16094,-19542
-13660,-23749
-9940,-13548
-2063,-9846
-3053,-3318
-3040,-7097
-16133,-16137
-3602,-3603
13,-4815
-4790,-4792
-59,-6746
5,-18413
-4622,-13478
-5818,-15835
-10495,-10553
18,-10273
-22410,-22413
-8928,-8929
-1110,-19864
22,-19569
-46,-22001
-1131,-4257
17,-21329
-2544,-2546
-3574,-3597
-5774,-5788
-2636,-2640
-18545,-18546
-5287,-5346
-940,-941
-486,-10530
-12373,-12376
-7014,-13859
-13540,-13541
-5821,-6269
-17863,-17864
-11283,-11284
-4864,-4865
-13216,-14158
-3274,-3293
12,-18272
-17811,-17813
-3105,-3107
-7227,-20203
-5684,-5711
16,-13706
24,-19559
-27629,-27919
-2175,-17116
7,-9326
-102,-104
-17523,-17525
-5249,-5269
-4867,-4868
-57,-23012
-7189,-7211
36,-10543
-8582,-15145
-2322,-26085
-6355,-16693
37,-10591
-2647,-2649
-5602,-5612
-21666,-21668
-5078,-20224
35,-18137
40,-1522
-8768,-8769
-9100,-9101
-3821,-3828
-2634,-6865
-14075,-14078
-2909,-2910
53,-12366
-6876,-6878
-13992,-13998
-6386,-22674
-16488,-16491
-7244,-14299
-14229,-14233
-3812,-3813
-3722,-19455
-14832,-22503
-16199,-16201
-8586,-22946
-4342,-4349
50,-5217
6,-4194
-7701,-7702
-6759,-6768
28,-16132
-20175,-23758
-6956,-19043
62,-18274
47,-26112
51,-10199
-4631,-4632
-1290,-1291
-2531,-2533
88,-19866
-7076,-10521
-17845,-17850
-369,-370
-17810,-19813
-7309,-7311
-16329,-20151
21,-2828
-3029,-3030
-7059,-7062
95,-12372
57,-17865
-15195,-15200
-8935,-8936
-8569,-10368
34,-8609
68,-13550
38,-22412
69,-27922
23,-21291
87,-18136
1,-3059
58,-20396
103,-2112
46,-3599
-9150,-18648
108,-17511
-18199,-18209
110,-1688
-19712,-19713
-9421,-9425
-8652,-8663
78,-10546
-2283,-2284
-10552,-11609
86,-23767
82,-10598
-153,-5131
-23112,-23136
-5420,-16807
-23311,-32305
-5382,-5383
60,-14159
-20176,-23759
-4783,-16276
-15153,-17992
11,-18641
-17114,-17127
-17026,-17027
75,-4923
14,-4957
-14774,-14777
-16259,-16262
63,-17812
-1443,-1486
-9770,-11017
-4269,-4657
-23108,-24832
-12314,-12315
71,-17916
-3883,-3887
29,-3617
116,-26104
-4330,-4332
-17772,-17778
64,-16362
-5208,-5210
-15547,-15552
-10901,-10905
41,-19571
106,-8587
-6816,-13663
148,-18224
-8987,-23433
155,-18871
-5814,-5816
-13763,-13765
-6785,-6790
-28271,-32185
-18548,-18549
-6346,-6361
43,-5200
-13616,-13630
-1842,-1879
-3691,-3720
147,-18561
144,-18582
-5175,-18162
-19924,-20427
-7281,-15063
-5379,-11157
173,-16263
-16767,-16770
98,-6425
165,-4784
-1085,-11146
-7121,-7131
-3359,-3387
31,-4785
70,-17118
-10379,-10388
10,-13197
-16799,-28626
-12697,-12701
-1609,-5246
-18948,-18950
56,-6268
-604,-605
105,-16197
-2900,-6260
-4185,-4188
100,-14306
-16255,-16260
-15334,-15339
-7857,-7858
-1817,-15316
-76,-4240
201,-4158
-14077,-14082
-17858,-24201
190,-19574
-14618,-14623
-1626,-1631
-14133,-14144
-18870,-22049
-2127,-24417
-8183,-8184
-2300,-18953
168,-17111
-21975,-31404
-2722,-2987
-916,-4610
39,-8926
-20353,-20367
-18772,-18774
-7799,-7801
-6646,-14866
-3114,-3119
42,-8992
-948,-954
-13764,-23063
-4595,-11423
-5812,-14582
-1081,-1082
-17190,-17191
-10777,-10779
179,-12311
-10251,-10300
-4198,-4199
178,-24834
218,-3370
102,-3810
-71,-23783
-6250,-6252
-4142,-4143
117,-10200
-455,-13689
-624,-1714
-20745,-24511
-3051,-10269
207,-19456
153,-10540
-8309,-8310
-1050,-2398
130,-7063
