"zip","NPI","index","order","city","state"
26726,"1023001955",1,18015,"Keyser","WV"
21550,"1033103411",2,18002,"Oakland","MD"
26726,"1134120231",3,18012,"Keyser","WV"
21550,"1285627604",4,18003,"Oakland","MD"
26757,"1376535351",5,18031,"Romney","WV"
26726,"1407858335",6,18013,"Keyser","WV"
21502,"1528060928",7,18008,"Cumberland","MD"
26726,"1639124282",8,18016,"Keyser","WV"
23502,"1861589897",9,33686,"Norfolk","VA"
45750,"1063627727",10,16121,"Marietta","OH"
45750,"1104813922",11,16137,"Marietta","OH"
26105,"1427051390",12,16074,"Vienna","WV"
45750,"1467685198",13,16124,"Marietta","OH"
26354,"1518063320",14,17951,"Grafton","WV"
26101,"1780672519",15,16080,"Parkersburg","WV"
26351,"1790781003",16,17956,"Glenville","WV"
26351,"1902066889",17,17967,"Glenville","WV"
45750,"1962635235",18,16128,"Marietta","OH"
21727,"1003809336",19,24156,"Emmitsburg","MD"
26506,"1003013582",20,17986,"Morgantown","WV"
26506,"1144338195",21,17988,"Morgantown","WV"
26506,"1245344506",22,17978,"Morgantown","WV"
26506,"1396857819",23,17980,"Morgantown","WV"
26506,"1477870764",24,17975,"Morgantown","WV"
26506,"1528170065",25,17990,"Morgantown","WV"
26506,"1548252281",26,17985,"Morgantown","WV"
26506,"1588776025",27,17989,"Morgantown","WV"
26506,"1639272560",28,17973,"Morgantown","WV"
26506,"1679656417",29,17970,"Morgantown","WV"
26506,"1780796607",30,17994,"Morgantown","WV"
26506,"1790781508",31,17979,"Morgantown","WV"
26506,"1831351436",32,17981,"Morgantown","WV"
26506,"1942493812",33,17976,"Morgantown","WV"
26506,"1962677427",34,17977,"Morgantown","WV"
26506,"1629152202",35,17972,"Morgantown","WV"
26506,"1669555488",36,17971,"Morgantown","WV"
26506,"1932305232",37,17974,"Morgantown","WV"
25801,"1700979812",38,17512,"Beckley","WV"
26651,"1770683203",39,17470,"Summersville","WV"
22801,"1568432706",40,18021,"Harrisonburg","VA"
45750,"1144298639",41,16134,"Marietta","OH"
22630,"1316090178",42,33187,"Front Royal","VA"
25401,"1467686386",43,18037,"Martinsburg","WV"
23502,"1962662478",44,33722,"Norfolk","VA"
26301,"1134225832",45,17885,"Clarksburg","WV"
26554,"1316037146",46,17849,"Fairmont","WV"
25702,"1396985644",47,17609,"Huntington","WV"
25301,"1558500447",48,17889,"Charleston","WV"
26330,"1598746562",49,17897,"Bridgeport","WV"
26330,"1750478269",50,17905,"Bridgeport","WV"
26330,"1821197484",51,17886,"Bridgeport","WV"
26506,"1053502245",52,17987,"Morgantown","WV"
26506,"1316050073",53,17984,"Morgantown","WV"
26506,"1558639575",54,17991,"Morgantown","WV"
25708,"1982657334",55,17862,"Huntington","WV"
26201,"1033351234",56,17936,"Buckhannon","WV"
26201,"1407177702",57,17920,"Buckhannon","WV"
26201,"1578524195",58,17921,"Buckhannon","WV"
26301,"1073546610",59,17901,"Clarksburg","WV"
26554,"1083656896",60,17844,"Fairmont","WV"
26452,"1124349493",61,17952,"Weston","WV"
26301,"1174621809",62,17894,"Clarksburg","WV"
26330,"1174794069",63,17916,"Bridgeport","WV"
26301,"1205933538",64,17904,"Clarksburg","WV"
26354,"1265539084",65,17914,"Grafton","WV"
26301,"1366540106",66,17892,"Clarksburg","WV"
54961,"1417966268",67,17846,"New London","WI"
26452,"1467458778",68,17955,"Weston","WV"
26301,"1598822207",69,17896,"Clarksburg","WV"
26354,"1891892626",70,17915,"Grafton","WV"
26582,"1316907165",71,17850,"Mannington","WV"
26431,"1871690115",72,17895,"Shinnston","WV"
26416,"1003803891",73,17902,"Philippi","WV"
26416,"1013238369",74,17882,"Philippi","WV"
26426,"1659537363",75,17887,"Salem","WV"
26416,"1730151010",76,17879,"Philippi","WV"
26330,"1740275676",77,17899,"Bridgeport","WV"
26416,"1770526139",78,17906,"Philippi","WV"
15321,"1801865001",79,23532,"Cecil","PA"
22191,"1609071661",80,799,"Woodbridge","VA"
23502,"1023133469",81,18032,"Norfolk","VA"
25401,"1033386834",82,18042,"Martinsburg","WV"
22835,"1164494449",83,18027,"Luray","VA"
22601,"1245451178",84,18029,"Winchester","VA"
25401,"1316144033",85,18044,"Martinsburg","WV"
25401,"1417123787",86,18043,"Martinsburg","WV"
25309,"1427362383",87,18038,"Charleston","WV"
25401,"1457319048",88,18046,"Martinsburg","WV"
25401,"1497076814",89,18054,"Martinsburg","WV"
22601,"1821077199",90,18030,"Winchester","VA"
26836,"1831163500",91,18017,"Moorefield","WV"
22835,"1902841539",92,18028,"Luray","VA"
26814,"1649485350",93,18022,"Riverton","WV"
15552,"1295737518",94,23441,"Meyersdale","PA"
15501,"1336458249",95,23447,"Somerset","PA"
15552,"1730180860",96,23440,"Meyersdale","PA"
15552,"1912908047",97,23442,"Meyersdale","PA"
26038,"1639164684",98,35202,"Glen Dale","WV"
25801,"1245276955",99,17513,"Beckley","WV"
26562,"1457565558",100,17859,"Burton","WV"
26501,"1568433571",101,17848,"Morgantown","WV"
25309,"1982651659",102,17911,"Charleston","WV"
45750,"1508861899",103,17676,"Marietta","OH"
43953,"1336146448",104,24538,"Steubenville","OH"
26038,"1538261193",105,35200,"Glen Dale","WV"
26038,"1801882303",106,35201,"Glen Dale","WV"
